PolicyID,CustomerID,PolicyType,StartDate,EndDate,Premium,CoverageLevel,State
POL-AAA-0116,CUST00031,Auto,2023-08-01,2024-08-01,529.2376024536873,Basic,FL
POL-AAA-0034,CUST00055,Auto,2023-04-27,2024-04-28,736.1135993505527,Standard,TX
POL-AAA-0113,CUST00110,Auto,2023-07-30,2024-07-30,760.8479597325279,Basic,TX
POL-AAA-0000,CUST00021,Auto,2023-06-11,2024-06-11,1170.316461852433,Basic,FL
POL-AAA-0057,CUST00114,Life,2023-10-01,2024-10-01,518.9625438211226,Basic,FL
POL-AAA-0005,CUST00016,Health,2023-03-25,2024-03-25,979.052650111403,Standard,TX
POL-AAA-0110,CUST00057,Health,2023-04-21,2024-04-20,1183.902017201629,Basic,FL
POL-AAA-0023,CUST00071,Auto,2023-04-05,2024-04-05,500.0,Standard,FL
POL-AAA-0017,CUST00103,Health,2023-04-17,2024-04-17,939.9488517741789,Standard,TX
POL-AAA-0047,CUST00019,Auto,2023-02-07,2024-02-08,1084.186463000222,Standard,TX
POL-AAA-0074,CUST00102,Auto,2023-04-10,2024-04-10,762.9418627220971,Standard,FL
POL-AAA-0093,CUST00119,Auto,2023-04-05,2024-04-05,1128.184226714352,Basic,TX
POL-AAA-0032,CUST00047,Auto,2023-03-18,2024-03-18,846.4222649100556,Standard,NY
POL-AAA-0070,CUST00039,Health,2023-06-13,2024-06-13,500.0,Basic,FL
POL-AAA-0097,CUST00052,Health,2023-02-11,2024-02-11,1028.380634123412,Standard,NY
POL-AAA-0081,CUST00029,Auto,2023-05-01,2024-05-01,681.6962202176635,Standard,TX
POL-AAA-0112,CUST00117,Auto,2023-04-23,2024-04-23,1117.735239282492,Basic,TX
POL-AAA-0083,CUST00068,Health,2023-01-01,2024-01-01,1028.245780846819,Basic,NY
POL-AAA-0041,CUST00044,Life,2023-04-27,2024-04-27,500.0,Standard,NY
POL-AAA-0002,CUST00078,Life,2023-04-10,2024-04-10,671.383462297822,Basic,FL
POL-AAA-0030,CUST00087,Auto,2023-06-21,2024-06-22,1135.79426229292,Premium,FL
POL-AAA-0115,CUST00085,Auto,2023-05-17,2024-05-17,709.2749918235307,Premium,TX
POL-AAA-0092,CUST00061,Auto,2023-01-01,2024-01-01,813.7427558446791,Basic,TX
POL-AAA-0090,CUST00023,Auto,2023-09-10,2024-09-10,892.1707940301606,Standard,CA
POL-AAA-0062,CUST00007,Health,2023-05-11,2024-05-11,738.0863628048363,Basic,CA
POL-AAA-0004,CUST00037,Auto,2023-07-03,2024-07-03,878.2933217065994,Premium,CA
POL-AAA-0082,CUST00108,Auto,2023-03-26,2024-03-26,878.9999883897669,Basic,NY
POL-AAA-0033,CUST00062,Health,2023-02-15,2024-02-16,798.8592636194128,Basic,FL
POL-AAA-0088,CUST00076,Auto,2023-07-03,2024-07-03,890.292780484645,Standard,FL
POL-AAA-0086,CUST00058,Health,2023-01-01,2024-01-01,1300.0,Standard,NY
POL-AAA-0098,CUST00112,Auto,2023-10-01,2024-10-01,585.8524423773201,Basic,CA
POL-AAA-0036,CUST00028,Health,2023-06-21,2024-06-20,755.5459511640665,Basic,FL
POL-AAA-0068,CUST00004,Health,2023-01-21,2024-01-21,1300.0,Standard,NY
POL-AAA-0073,CUST00098,Health,2023-01-01,2024-01-01,1258.875050550878,Basic,FL
POL-AAA-0109,CUST00091,Auto,2023-09-14,2024-09-14,846.5882889031118,Standard,CA
POL-AAA-0054,CUST00094,Auto,2023-01-01,2024-01-01,1051.832161795657,Standard,NY
POL-AAA-0039,CUST00074,Auto,2023-07-01,2024-07-01,864.4823980371611,Standard,TX
POL-AAA-0016,CUST00009,Auto,2023-07-15,2024-07-15,878.4907144373143,Basic,CA
POL-AAA-0022,CUST00063,Health,2023-05-10,2024-05-10,950.7163602582683,Basic,FL
POL-AAA-0089,CUST00035,Health,2023-03-09,2024-03-08,1300.0,Premium,NY
POL-AAA-0094,CUST00088,Auto,2023-04-29,2024-04-29,723.3960349198721,Standard,NY
POL-AAA-0101,CUST00065,Auto,2023-05-20,2024-05-20,1187.096209847581,Premium,NY
POL-AAA-0049,CUST00100,Auto,2023-06-17,2024-06-17,723.1312366005474,Basic,FL
POL-AAA-0107,CUST00000,Auto,2023-06-28,2024-06-28,581.6394470465802,Standard,FL
POL-AAA-0007,CUST00002,Auto,2023-08-24,2024-08-24,500.0,Basic,FL
POL-AAA-0044,CUST00111,Health,2023-04-09,2024-04-09,1300.0,Basic,NY
POL-AAA-0013,CUST00042,Auto,2023-05-29,2024-05-28,832.6804892825681,Basic,FL
POL-AAA-0009,CUST00005,Auto,2023-05-17,2024-05-17,784.0497992219309,Standard,FL
POL-AAA-0119,CUST00080,Auto,2023-07-22,2024-07-22,583.9968390464444,Basic,FL
POL-AAA-0078,CUST00001,Auto,2023-06-01,2024-06-01,1044.215275440863,Standard,TX
POL-AAA-0050,CUST00115,Auto,2023-08-09,2024-08-10,867.5529791589631,Basic,NY
POL-AAA-0024,CUST00048,Auto,2023-05-14,2024-05-14,918.2442245699064,Basic,TX
POL-AAA-0066,CUST00073,Auto,2023-05-31,2024-05-30,1188.953569595932,Standard,FL
POL-AAA-0012,CUST00081,Auto,2023-01-20,2024-01-20,814.660701876568,Standard,NY
POL-AAA-0056,CUST00050,Health,2023-01-12,2024-01-13,1300.0,Basic,FL
POL-AAA-0071,CUST00024,Auto,2023-05-15,2024-05-14,663.5024030006832,Basic,FL
POL-AAA-0106,CUST00041,Auto,2023-01-19,2024-01-20,593.5186244976082,Standard,FL
POL-AAA-0065,CUST00040,Auto,2023-04-23,2024-04-22,586.4295849799641,Standard,TX
POL-AAA-0063,CUST00084,Auto,2023-03-09,2024-03-09,1098.915510400444,Standard,FL
POL-AAA-0026,CUST00082,Life,2023-06-19,2024-06-19,965.9676250534101,Standard,TX
POL-AAA-0053,CUST00014,Health,2023-02-12,2024-02-13,728.3540025547105,Standard,FL
POL-AAA-0046,CUST00020,Auto,2023-06-01,2024-06-01,792.9077746592819,Basic,TX
POL-AAA-0103,CUST00033,Auto,2023-03-10,2024-03-09,1300.0,Basic,FL
POL-AAA-0042,CUST00015,Auto,2023-08-21,2024-08-21,1075.626509017637,Basic,NY
POL-AAA-0019,CUST00099,Auto,2023-07-09,2024-07-09,831.231914010731,Basic,FL
POL-AAA-0091,CUST00104,Auto,2023-06-05,2024-06-05,960.0908590377672,Standard,FL
POL-AAA-0031,CUST00066,Auto,2023-09-27,2024-09-29,664.4977739526389,Basic,FL
POL-AAA-0055,CUST00092,Auto,2023-04-09,2024-04-09,692.7481622652125,Basic,FL
POL-AAA-0011,CUST00079,Life,2023-05-21,2024-05-21,667.5278670835108,Standard,FL
POL-AAA-0099,CUST00045,Auto,2023-05-13,2024-05-12,1095.813048674134,Standard,TX
POL-AAA-0001,CUST00008,Auto,2023-05-06,2024-05-06,1136.432655789374,Basic,NY
POL-AAA-0058,CUST00026,Auto,2023-10-01,2024-10-01,982.9281071690249,Standard,FL
POL-AAA-0040,CUST00012,Auto,2023-10-01,2024-10-01,632.7568547844864,Basic,CA
POL-AAA-0008,CUST00070,Life,2023-08-10,2024-08-10,890.0602240172681,Standard,TX
POL-AAA-0048,CUST00059,Health,2023-06-13,2024-06-12,1300.0,Basic,NY
POL-AAA-0027,CUST00113,Auto,2023-05-26,2024-05-26,1083.075113479669,Standard,TX
POL-AAA-0096,CUST00049,Auto,2023-06-01,2024-05-31,1300.0,Basic,FL
POL-AAA-0118,CUST00018,Health,2023-01-01,2024-01-01,1111.462248898386,Standard,CA
POL-AAA-0014,CUST00056,Health,2023-03-24,2024-03-24,942.6405497612704,Basic,NY
POL-AAA-0061,CUST00093,Auto,2023-05-15,2024-05-15,529.7011646693578,Basic,TX
POL-AAA-0111,CUST00013,Auto,2023-03-12,2024-03-11,1159.862393114167,Standard,NY
POL-AAA-0052,CUST00032,Auto,2023-09-15,2024-09-15,919.1905696911293,Basic,NY
POL-AAA-0100,CUST00069,Auto,2023-09-17,2024-09-17,985.825917302355,Standard,NY
POL-AAA-0037,CUST00096,Health,2023-08-13,2024-08-13,938.7974296782334,Basic,FL
POL-AAA-0025,CUST00027,Health,2023-01-01,2024-01-01,997.7414135863958,Standard,FL
POL-AAA-0102,CUST00017,Health,2023-01-01,2024-01-01,980.6027850526908,Standard,FL
POL-AAA-0114,CUST00011,Health,2023-04-26,2024-04-26,925.5224489673205,Basic,FL
POL-AAA-0021,CUST00106,Auto,2023-02-20,2024-02-20,922.6921592493089,Standard,NY
POL-AAA-0010,CUST00064,Auto,2023-05-24,2024-05-23,1258.44027101156,Basic,NY
POL-AAA-0060,CUST00034,Auto,2023-09-23,2024-09-24,1062.281363988752,Basic,FL
POL-AAA-0029,CUST00083,Auto,2023-10-01,2024-10-01,865.2240635153629,Basic,NY
POL-AAA-0095,CUST00089,Auto,2023-04-12,2024-04-12,680.7053105036948,Basic,FL
POL-AAA-0105,CUST00101,Auto,2023-04-28,2024-04-27,684.3171823079592,Basic,FL
POL-AAA-0077,CUST00022,Health,2023-04-03,2024-04-03,979.7072997741191,Basic,FL
POL-AAA-0028,CUST00051,Auto,2023-04-11,2024-04-10,1185.434723180319,Basic,TX
POL-AAA-0003,CUST00038,Auto,2023-04-13,2024-04-13,561.2331289853266,Basic,CA
POL-AAA-0079,CUST00010,Auto,2023-03-04,2024-03-03,873.938236038979,Standard,NY
POL-AAA-0085,CUST00105,Auto,2023-07-25,2024-07-25,1213.71405187864,Premium,TX
POL-AAA-0069,CUST00003,Health,2023-02-03,2024-02-03,978.9393107909408,Standard,NY
POL-AAA-0117,CUST00006,Health,2023-07-26,2024-07-27,940.6862519711625,Premium,TX
POL-AAA-0051,CUST00086,Health,2023-01-01,2024-01-01,702.9956842488598,Standard,TX
POL-AAA-0080,CUST00118,Health,2023-01-30,2024-01-30,1007.157785361688,Basic,TX
POL-AAA-0104,CUST00072,Life,2023-03-06,2024-03-05,535.8408796978231,Standard,FL
POL-AAA-0015,CUST00095,Auto,2023-09-29,2024-09-30,1169.35073110386,Standard,FL
POL-AAA-0038,CUST00109,Auto,2023-04-13,2024-04-13,1130.115966039789,Basic,NY
POL-AAA-0035,CUST00054,Auto,2023-06-11,2024-06-11,1007.027880587193,Premium,CA
POL-AAA-0108,CUST00116,Health,2023-01-27,2024-01-28,1093.684706581115,Basic,NY
POL-AAA-0043,CUST00053,Auto,2023-03-05,2024-03-05,1054.107200838604,Standard,NY
POL-AAA-0084,CUST00043,Auto,2023-03-31,2024-03-30,515.9887803746661,Standard,FL
POL-AAA-0067,CUST00046,Life,2023-09-26,2024-09-26,819.8500213887909,Basic,NY
POL-AAA-0006,CUST00107,Health,2023-02-01,2024-02-02,1300.0,Standard,NY
POL-AAA-0064,CUST00025,Auto,2023-08-14,2024-08-14,615.5353695167785,Basic,FL
POL-AAA-0045,CUST00097,Auto,2023-06-05,2024-06-04,620.9006740543464,Standard,TX
POL-AAA-0087,CUST00067,Auto,2023-01-01,2024-01-01,865.699724811888,Basic,NY
POL-AAA-0020,CUST00060,Health,2023-05-15,2024-05-15,867.7534138111857,Standard,FL
POL-AAA-0076,CUST00075,Auto,2023-06-02,2024-06-03,1300.0,Basic,CA
POL-AAA-0018,CUST00030,Auto,2023-06-09,2024-06-09,500.0,Premium,FL
POL-AAA-0059,CUST00090,Health,2023-04-23,2024-04-22,974.3040758865889,Standard,FL
POL-AAA-0072,CUST00077,Auto,2023-07-01,2024-07-01,678.4178937418035,Standard,FL
POL-AAA-0075,CUST00036,Life,2023-10-01,2024-10-01,996.0963662611681,Premium,NY
